"GISJOIN","FIPS","ADI_NATRANK","ADI_STATERNK"
"G29002309502014","290239502014","74","6"
"G29002309502021","290239502021","69","5"
"G29002309502022","290239502022","80","7"
"G29002309502023","290239502023","74","6"
"G29002309502024","290239502024","76","6"
"G29002309503011","290239503011","70","5"
"G29002309503012","290239503012","70","5"
"G29002309503013","290239503013","71","6"
"G29002309503021","290239503021","77","7"
"G29002309503022","290239503022","77","7"
"G29002309503023","290239503023","77","7"
"G29002309504001","290239504001","94","9"
"G29002309504002","290239504002","95","10"
"G29002309504003","290239504003","95","10"
"G29002309504004","290239504004","95","10"
"G29002309505001","290239505001","98","10"
"G29002309505002","290239505002","99","10"
"G29002309505003","290239505003","GQ","GQ"
"G29002309506001","290239506001","86","8"
"G29002309506002","290239506002","90","9"
"G29002309506003","290239506003","85","8"
"G29002309506004","290239506004","86","8"
"G29002309507001","290239507001","98","10"
"G29002309507002","290239507002","98","10"
"G29002309507003","290239507003","98","10"
"G29002309508001","290239508001","95","10"
"G29002309508002","290239508002","62","4"
"G29002309508003","290239508003","91","9"
"G29002309509001","290239509001","90","9"
"G29002309509002","290239509002","83","8"
"G29002309509003","290239509003","92","9"
"G29002309509004","290239509004","97","10"
"G29002509501001","290259501001","76","6"
"G29002509501002","290259501002","93","9"
"G29002509501003","290259501003","82","7"
"G29002509501004","290259501004","94","9"
"G29002509502011","290259502011","87","8"
"G29002509502012","290259502012","61","4"
"G29002509502013","290259502013","51","3"
"G29002509502021","290259502021","77","7"
"G29002509502022","290259502022","87","8"
"G29002509502023","290259502023","81","7"
"G29002700701001","290270701001","57","4"
"G29002700701002","290270701002","44","2"
"G29002700701003","290270701003","57","4"
"G29002700701004","290270701004","82","7"
"G29002700702001","290270702001","70","5"
"G29002700702002","290270702002","67","5"
"G29002700702003","290270702003","70","5"
"G29002700702004","290270702004","72","6"
"G29002700703011","290270703011","72","6"
"G29002700703012","290270703012","GQ","GQ"
"G29002700703021","290270703021","67","5"
"G29002700703022","290270703022","GQ","GQ"
"G29002700703023","290270703023","85","8"
"G29002700704001","290270704001","91","9"
"G29002700704002","290270704002","GQ","GQ"
"G29002700704003","290270704003","82","7"
"G29002700704004","290270704004","93","9"
"G29002700704005","290270704005","72","6"
"G29002700705001","290270705001","57","4"
"G29002700705002","290270705002","57","4"
"G29002700705003","290270705003","56","3"
"G29002700705004","290270705004","57","4"
"G29002700706011","290270706011","60","4"
"G29002700706012","290270706012","58","4"
"G29002700706021","290270706021","54","3"
"G29002700706022","290270706022","52","3"
"G29002700706023","290270706023","74","6"
"G29002700707011","290270707011","57","4"
"G29002700707021","290270707021","55","3"
"G29002700707022","290270707022","62","4"
"G29002700708001","290270708001","70","5"
"G29002700708002","290270708002","62","4"
"G29002700708003","290270708003","67","5"
"G29002909501011","290299501011","44","2"
"G29002909501021","290299501021","38","2"
"G29002909502011","290299502011","41","2"
"G29002909502012","290299502012","47","2"
"G29002909502013","290299502013","39","2"
"G29002909502021","290299502021","30","1"
"G29002909502022","290299502022","35","2"
"G29002909502023","290299502023","38","2"
"G29002909503011","290299503011","42","2"
"G29002909503012","290299503012","26","1"
"G29002909503021","290299503021","56","3"
"G29002909504011","290299504011","49","3"
"G29002909504021","290299504021","62","4"
"G29002909504022","290299504022","66","5"
"G29002909505001","290299505001","79","7"
"G29002909505002","290299505002","74","6"
"G29002909505003","290299505003","76","6"
"G29002909506001","290299506001","62","4"
"G29002909506002","290299506002","61","4"
"G29002909506003","290299506003","29","1"
"G29002909506004","290299506004","51","3"
"G29002909507011","290299507011","61","4"
"G29002909507012","290299507012","52","3"
"G29002909507013","290299507013","43","2"
"G29002909507014","290299507014","45","2"
"G29002909507021","290299507021","68","5"
"G29002909508011","290299508011","56","3"
"G29002909508012","290299508012","75","6"
"G29002909508013","290299508013","59","4"
"G29002909508021","290299508021","60","4"
"G29002909508022","290299508022","53","3"
"G29002909508023","290299508023","38","2"
"G29002909509001","290299509001","66","5"
"G29002909509002","290299509002","88","8"
"G29002909511011","290299511011","30","1"
"G29002909511021","290299511021","46","2"
"G29002909511022","290299511022","58","4"
"G29002909512011","290299512011","45","2"
"G29002909512012","290299512012","45","2"
"G29002909512021","290299512021","62","4"
"G29003108801001","290318801001","57","4"
"G29003108801002","290318801002","69","5"
"G29003108801003","290318801003","62","4"
"G29003108801004","290318801004","62","4"
"G29003108801005","290318801005","65","5"
"G29003108802001","290318802001","67","5"
"G29003108802002","290318802002","46","2"
"G29003108802003","290318802003","66","5"
"G29003108803001","290318803001","60","4"
"G29003108803002","290318803002","74","6"
"G29003108803003","290318803003","78","7"
"G29003108803004","290318803004","70","5"
"G29003108804011","290318804011","52","3"
"G29003108804012","290318804012","56","3"
"G29003108804013","290318804013","57","4"
"G29003108804021","290318804021","71","6"
"G29003108804022","290318804022","86","8"
"G29003108805011","290318805011","54","3"
"G29003108805012","290318805012","49","3"
"G29003108805013","290318805013","58","4"
"G29003108805021","290318805021","46","2"
"G29003108805022","290318805022","78","7"
"G29003108805023","290318805023","46","2"
"G29003108806001","290318806001","50","3"
"G29003108806002","290318806002","62","4"
"G29003108806003","290318806003","54","3"
"G29003108806004","290318806004","41","2"
"G29003108806005","290318806005","51","3"
"G29003108807001","290318807001","49","3"
"G29003108807002","290318807002","56","3"
"G29003108807003","290318807003","75","6"
"G29003108808001","290318808001","89","8"
"G29003108808002","290318808002","73","6"
"G29003108808003","290318808003","GQ","GQ"
"G29003108809001","290318809001","99","10"
"G29003108809002","290318809002","95","10"
"G29003108810001","290318810001","77","7"
"G29003108810002","290318810002","68","5"
"G29003108811001","290318811001","76","6"
"G29003108811002","290318811002","68","5"
"G29003108811003","290318811003","76","6"
"G29003108812001","290318812001","61","4"
"G29003108812002","290318812002","49","3"
"G29003108812003","290318812003","73","6"
"G29003108812004","290318812004","53","3"
"G29003108812005","290318812005","68","5"
"G29003108813011","290318813011","52","3"
"G29003108813012","290318813012","77","7"
"G29003108813021","290318813021","72","6"
"G29003108813022","290318813022","60","4"
"G29003108814001","290318814001","78","7"
"G29003108814002","290318814002","80","7"
"G29003108814003","290318814003","69","5"
"G29003108815001","290318815001","51","3"
"G29003108815002","290318815002","52","3"
